timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,label
2026-05-23 11:12:40.494920,11,12,40,3.4,40.8,0.0,84.2,13.91,189,189,181,0,3,2,2,5,0,3,451,2.3862,189,1.0,189,3,3,1,0.018,0,0,42,0,malicious
2026-05-23 11:12:41.343654,11,12,41,12.9,40.9,0.0,84.2,13.92,190,190,181,0,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0679,0,927,2043,151,malicious
2026-05-23 11:12:42.044432,11,12,42,0.0,40.8,0.0,84.2,13.93,190,190,181,2,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0,0,913,1507,68,malicious
2026-05-23 11:12:42.765710,11,12,42,0.0,40.8,0.0,84.2,13.95,190,190,181,0,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0,0,520,1533,38,malicious
2026-05-23 11:12:43.448955,11,12,43,9.1,40.8,0.0,84.2,13.96,190,190,181,1,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0479,0,370,1468,51,malicious
2026-05-23 11:12:44.111519,11,12,44,6.7,39.8,0.0,84.2,13.97,190,190,181,1,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0353,0,1178,1560,109,malicious
2026-05-23 11:12:44.767935,11,12,44,13.3,39.8,0.0,84.2,13.98,190,190,181,0,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.07,0,976,1587,86,malicious
2026-05-23 11:12:45.436751,11,12,45,6.3,39.7,0.0,84.2,13.99,190,190,181,0,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0332,0,1202,1634,146,malicious
2026-05-23 11:12:46.110533,11,12,46,0.0,39.4,0.0,84.2,14.0,190,190,181,2,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0,0,984,1545,53,malicious
2026-05-23 11:12:46.801912,11,12,46,0.0,39.4,0.0,84.2,14.01,190,190,181,1,3,2,3,5,1,3,452,2.3789,190,1.0,190,3,3,1,0.0,0,865,1585,59,malicious
2026-05-23 11:12:47.469087,11,12,47,3.4,39.3,0.0,84.2,14.02,190,190,181,2,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0179,0,3098,1727,99,malicious
2026-05-23 11:12:48.137603,11,12,48,3.8,39.1,0.0,84.2,14.03,190,190,181,1,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.02,0,959,1470,28,malicious
2026-05-23 11:12:48.814662,11,12,48,6.5,39.2,0.0,84.2,14.05,190,190,181,1,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0342,0,692,1468,21,malicious
2026-05-23 11:12:49.474742,11,12,49,6.7,39.0,0.0,84.2,14.06,190,190,181,1,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0353,0,1298,1502,40,malicious
2026-05-23 11:12:50.149871,11,12,50,0.0,38.9,0.0,84.2,14.07,190,190,181,1,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0,0,713,1581,64,malicious
2026-05-23 11:12:50.823260,11,12,50,3.2,38.9,0.0,84.2,14.08,190,190,181,0,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0168,0,1068,1506,38,malicious
2026-05-23 11:12:51.484308,11,12,51,6.7,38.8,0.0,84.2,14.09,190,190,181,0,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0353,0,977,1601,66,malicious
2026-05-23 11:12:52.165780,11,12,52,3.3,38.8,0.0,84.2,14.1,190,190,181,1,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0174,0,656,1550,56,malicious
2026-05-23 11:12:52.868518,11,12,52,2.8,38.8,0.0,84.2,14.11,190,190,181,1,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0147,0,685,1630,73,malicious
2026-05-23 11:12:53.557615,11,12,53,0.0,38.8,0.0,84.2,14.12,190,190,181,0,3,2,3,5,1,3,453,2.3842,190,1.0,190,3,3,1,0.0,0,669,1603,63,malicious
