timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,kernel_openat_delta,kernel_execve_delta,kernel_connect_delta,scenario,collector_type,label
2026-05-31T01:55:28.631158,1,55,28,17.2,49.0,0.0,88.2,21.54,246,246,232,5,2,4,12,5,1,4,633,2.5732,246,1.0,246,28,28,2,0.0699,0,6307,5540,1807,3294,9,3,proxy_fifo_write,ebpf,malicious
2026-05-31T01:55:33.792208,1,55,33,39.5,48.8,0.0,88.2,21.63,245,245,231,4,2,4,12,5,1,4,614,2.5061,245,1.0,245,33,33,2,0.1612,0,7600,3931,1558,2097,5,4,proxy_fifo_write,ebpf,malicious
2026-05-31T01:55:51.151438,1,55,51,37.5,48.9,0.0,88.2,21.92,251,251,236,4,2,5,14,5,1,4,615,2.4502,251,1.0,251,52,52,2,0.1494,0,13258,6280,1530,4114,40,4,proxy_fifo_write,ebpf,malicious
2026-05-31T01:56:37.323399,1,56,37,48.6,48.9,0.0,88.2,22.69,244,244,230,4,2,4,12,5,1,4,611,2.5041,244,1.0,244,86,86,2,0.1992,0,11479,4623,1583,2514,15,2,proxy_fifo_write,ebpf,malicious
2026-05-31T01:56:47.989033,1,56,47,52.6,49.0,0.0,88.2,22.87,249,248,233,4,2,5,13,5,1,4,621,2.494,249,1.0,249,81,81,2,0.2112,0,10400,5519,1301,3431,39,5,proxy_fifo_write,ebpf,malicious
2026-05-31T01:57:22.956517,1,57,22,12.5,49.1,0.0,88.2,23.45,244,244,230,3,2,4,12,5,1,4,603,2.4713,244,1.0,244,78,78,2,0.0512,0,10906,4606,1441,2613,11,2,proxy_fifo_write,ebpf,malicious
2026-05-31T01:58:02.624367,1,58,2,83.3,49.3,0.0,88.2,24.11,247,243,230,5,2,5,11,5,0,4,619,2.5061,247,1.0,247,76,76,2,0.3372,0,10254,3984,1494,2234,15,5,proxy_fifo_write,ebpf,malicious
2026-05-31T01:58:09.127143,1,58,9,55.0,49.5,0.0,88.2,24.22,245,245,230,6,2,5,12,5,1,4,614,2.5061,245,1.0,245,74,74,2,0.2245,0,8932,4814,1293,2832,5,3,proxy_fifo_write,ebpf,malicious
